,repo,org,stars,contributors,released,created_at,updated_recently,url
0,truth,Google,2679,74,TRUE,6/22/2011,TRUE,https://api.github.com/repos/google/truth
1,dagger,Google,17260,124,TRUE,2/1/2013,TRUE,https://api.github.com/repos/google/dagger
2,vector_math.dart,Google,293,41,TRUE,4/12/2013,TRUE,https://api.github.com/repos/google/vector_math.dart
3,auto,Google,10323,78,TRUE,5/22/2013,TRUE,https://api.github.com/repos/google/auto
4,go-github,Google,9964,445,TRUE,5/24/2013,TRUE,https://api.github.com/repos/google/go-github
5,paco,Google,326,19,TRUE,7/9/2013,TRUE,https://api.github.com/repos/google/paco
6,protobuf.dart,Google,503,63,TRUE,7/10/2013,TRUE,https://api.github.com/repos/google/protobuf.dart
7,webdriver.dart,Google,133,28,TRUE,7/22/2013,TRUE,https://api.github.com/repos/google/webdriver.dart
8,quiver-dart,Google,979,59,TRUE,8/14/2013,TRUE,https://api.github.com/repos/google/quiver-dart
9,closure-library,Google,4822,134,TRUE,8/16/2013,TRUE,https://api.github.com/repos/google/closure-library
10,compile-testing,Google,685,28,TRUE,8/26/2013,TRUE,https://api.github.com/repos/google/compile-testing
11,grinder.dart,Google,257,20,TRUE,10/1/2013,TRUE,https://api.github.com/repos/google/grinder.dart
12,jimfs,Google,2359,24,TRUE,10/21/2013,TRUE,https://api.github.com/repos/google/jimfs
13,blockly,Google,11974,198,TRUE,10/25/2013,TRUE,https://api.github.com/repos/google/blockly
14,grr,Google,4600,43,TRUE,12/4/2013,TRUE,https://api.github.com/repos/google/grr
15,benchmark,Google,8219,286,TRUE,12/12/2013,TRUE,https://api.github.com/repos/google/benchmark
16,j2objc,Google,5972,96,TRUE,1/30/2014,TRUE,https://api.github.com/repos/google/j2objc
17,flatbuffers,Google,21773,431,TRUE,5/19/2014,TRUE,https://api.github.com/repos/google/flatbuffers
18,cronutils,Google,113,2,TRUE,5/27/2014,TRUE,https://api.github.com/repos/google/cronutils
19,mtail,Google,3704,81,TRUE,5/27/2014,TRUE,https://api.github.com/repos/google/mtail
20,guice,Google,12306,75,TRUE,5/28/2014,TRUE,https://api.github.com/repos/google/guice
21,guava,Google,49097,303,TRUE,5/29/2014,TRUE,https://api.github.com/repos/google/guava
22,cadvisor,Google,16047,296,TRUE,6/9/2014,TRUE,https://api.github.com/repos/google/cadvisor
23,ExoPlayer,Google,21363,247,TRUE,6/13/2014,TRUE,https://api.github.com/repos/google/ExoPlayer
24,timesketch,Google,2453,107,TRUE,6/19/2014,TRUE,https://api.github.com/repos/google/timesketch
25,xsecurelock,Google,840,18,TRUE,6/20/2014,TRUE,https://api.github.com/repos/google/xsecurelock
26,jsonnet,Google,6678,136,TRUE,8/1/2014,TRUE,https://api.github.com/repos/google/jsonnet
27,go-tpm,Google,509,40,TRUE,8/13/2014,TRUE,https://api.github.com/repos/google/go-tpm
28,googleapis.dart,Google,385,22,TRUE,8/14/2014,TRUE,https://api.github.com/repos/google/googleapis.dart
29,re2,Google,8504,54,TRUE,8/18/2014,TRUE,https://api.github.com/repos/google/re2
30,error-prone,Google,6673,214,TRUE,8/21/2014,TRUE,https://api.github.com/repos/google/error-prone
31,material-design-icons,Google,49446,27,TRUE,10/8/2014,TRUE,https://api.github.com/repos/google/material-design-icons
32,woff2,Google,1372,20,TRUE,10/9/2014,TRUE,https://api.github.com/repos/google/woff2
33,brotli,Google,12943,97,TRUE,10/9/2014,TRUE,https://api.github.com/repos/google/brotli
34,santa,Google,4273,47,TRUE,10/9/2014,TRUE,https://api.github.com/repos/google/santa
35,double-conversion,Google,1073,57,TRUE,10/18/2014,TRUE,https://api.github.com/repos/google/double-conversion
36,libphonenumber,Google,15854,131,TRUE,12/3/2014,TRUE,https://api.github.com/repos/google/libphonenumber
37,allocation-instrumenter,Google,472,6,TRUE,2/12/2015,TRUE,https://api.github.com/repos/google/allocation-instrumenter
38,or-tools,Google,10209,124,TRUE,2/21/2015,TRUE,https://api.github.com/repos/google/or-tools
39,glog,Google,6712,129,TRUE,2/23/2015,TRUE,https://api.github.com/repos/google/glog
40,password-alert,Google,299,12,TRUE,3/17/2015,TRUE,https://api.github.com/repos/google/password-alert
41,gson,Google,22814,141,TRUE,3/19/2015,TRUE,https://api.github.com/repos/google/gson
42,built_collection.dart,Google,273,22,TRUE,4/2/2015,TRUE,https://api.github.com/repos/google/built_collection.dart
43,UIforETW,Google,1505,18,TRUE,4/9/2015,TRUE,https://api.github.com/repos/google/UIforETW
