,repo,org,obs_period,unit_complexity,unit_size,lines,n_modified_files,n_contributors
0,vorto,eclipse,"(datetime.datetime(2022, 11, 1, 0, 0), datetime.datetime(2022, 12, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 9615.0, 'max': [9615], 'Q1': 9615.0, 'Q3': 9615.0}","{'avg': 0.0, 'max': [0], 'Q1': 0.0, 'Q3': 0.0}",1
0,vorto,eclipse,"(datetime.datetime(2022, 12, 1, 0, 0), datetime.datetime(2023, 1, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 1, 1, 0, 0), datetime.datetime(2023, 2, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 2, 1, 0, 0), datetime.datetime(2023, 3, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 21.5, 'max': [41], 'Q1': 11.75, 'Q3': 31.25}","{'avg': 1.5, 'max': [2], 'Q1': 1.25, 'Q3': 1.75}",1
0,vorto,eclipse,"(datetime.datetime(2023, 3, 1, 0, 0), datetime.datetime(2023, 4, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 4, 1, 0, 0), datetime.datetime(2023, 5, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 5, 1, 0, 0), datetime.datetime(2023, 6, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 6, 1, 0, 0), datetime.datetime(2023, 7, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 7, 1, 0, 0), datetime.datetime(2023, 8, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 8, 1, 0, 0), datetime.datetime(2023, 9, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 5115.0, 'max': [5115], 'Q1': 5115.0, 'Q3': 5115.0}","{'avg': 25.5, 'max': [51], 'Q1': 12.75, 'Q3': 38.25}",2
0,vorto,eclipse,"(datetime.datetime(2023, 9, 1, 0, 0), datetime.datetime(2023, 10, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 10, 1, 0, 0), datetime.datetime(2023, 11, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 11, 1, 0, 0), datetime.datetime(2023, 12, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2023, 12, 1, 0, 0), datetime.datetime(2024, 1, 1, 0, 0))",0,0,0,0,0
0,che,eclipse,"(datetime.datetime(2022, 1, 1, 0, 0), datetime.datetime(2022, 2, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 22.0, 'max': [2423], 'Q1': 9.0, 'Q3': 64.5}","{'avg': 3.0, 'max': [6], 'Q1': 2.0, 'Q3': 4.0}",6
0,che,eclipse,"(datetime.datetime(2022, 2, 1, 0, 0), datetime.datetime(2022, 3, 1, 0, 0))","{'avg': 0.0, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.25}","{'avg': 0.0, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.25}","{'avg': 8.5, 'max': [67], 'Q1': 7.5, 'Q3': 20.5}","{'avg': 2.0, 'max': [4], 'Q1': 1.0, 'Q3': 2.25}",4
0,che,eclipse,"(datetime.datetime(2022, 3, 1, 0, 0), datetime.datetime(2022, 4, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 0.75, 'Q3': 1.0}","{'avg': 0.9705882352941176, 'max': [1.0], 'Q1': 0.7058823529411764, 'Q3': 1.0}","{'avg': 60.5, 'max': [683], 'Q1': 9.0, 'Q3': 159.0}","{'avg': 4.0, 'max': [16], 'Q1': 2.75, 'Q3': 5.5}",3
0,che,eclipse,"(datetime.datetime(2022, 4, 1, 0, 0), datetime.datetime(2022, 5, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 22.0, 'max': [22], 'Q1': 22.0, 'Q3': 22.0}","{'avg': 4.0, 'max': [4], 'Q1': 4.0, 'Q3': 4.0}",1
0,che,eclipse,"(datetime.datetime(2022, 5, 1, 0, 0), datetime.datetime(2022, 6, 1, 0, 0))","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 36.5, 'max': [68], 'Q1': 26.75, 'Q3': 47.75}","{'avg': 3.0, 'max': [5], 'Q1': 1.75, 'Q3': 4.25}",2
0,che,eclipse,"(datetime.datetime(2022, 6, 1, 0, 0), datetime.datetime(2022, 7, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 0.5, 'Q3': 1.0}","{'avg': 0.9183673469387755, 'max': [1.0], 'Q1': 0.45918367346938777, 'Q3': 0.9591836734693877}","{'avg': 148.5, 'max': [867], 'Q1': 9.0, 'Q3': 172.5}","{'avg': 4.5, 'max': [52], 'Q1': 3.75, 'Q3': 16.25}",6
0,che,eclipse,"(datetime.datetime(2022, 7, 1, 0, 0), datetime.datetime(2022, 8, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 0.5, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 0.5, 'Q3': 1.0}","{'avg': 9.0, 'max': [68], 'Q1': 4.0, 'Q3': 15.0}","{'avg': 3.0, 'max': [4], 'Q1': 1.0, 'Q3': 4.0}",4
0,che,eclipse,"(datetime.datetime(2022, 8, 1, 0, 0), datetime.datetime(2022, 9, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 9.0, 'max': [265], 'Q1': 9.0, 'Q3': 137.0}","{'avg': 4.0, 'max': [4], 'Q1': 2.5, 'Q3': 4.0}",2
0,che,eclipse,"(datetime.datetime(2022, 9, 1, 0, 0), datetime.datetime(2022, 10, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 42.0, 'max': [42], 'Q1': 42.0, 'Q3': 42.0}","{'avg': 2.0, 'max': [2], 'Q1': 2.0, 'Q3': 2.0}",1
0,che,eclipse,"(datetime.datetime(2022, 10, 1, 0, 0), datetime.datetime(2022, 11, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 9.0, 'max': [9], 'Q1': 5.5, 'Q3': 9.0}","{'avg': 4.0, 'max': [4], 'Q1': 2.5, 'Q3': 4.0}",2
0,che,eclipse,"(datetime.datetime(2022, 11, 1, 0, 0), datetime.datetime(2022, 12, 1, 0, 0))","{'avg': 0.10638297872340426, 'max': [0.10638297872340426], 'Q1': 0.10638297872340426, 'Q3': 0.10638297872340426}","{'avg': 0.48936170212765956, 'max': [0.48936170212765956], 'Q1': 0.48936170212765956, 'Q3': 0.48936170212765956}","{'avg': 9.0, 'max': [2985], 'Q1': 5.25, 'Q3': 116.25}","{'avg': 4.0, 'max': [103], 'Q1': 1.75, 'Q3': 4.75}",4
0,che,eclipse,"(datetime.datetime(2022, 12, 1, 0, 0), datetime.datetime(2023, 1, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 9.5, 'max': [1787], 'Q1': 7.25, 'Q3': 454.25}","{'avg': 3.5, 'max': [64], 'Q1': 2.5, 'Q3': 19.0}",3
0,che,eclipse,"(datetime.datetime(2023, 1, 1, 0, 0), datetime.datetime(2023, 2, 1, 0, 0))","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 12.0, 'max': [1608], 'Q1': 3.5, 'Q3': 50.0}","{'avg': 2.5, 'max': [7], 'Q1': 1.0, 'Q3': 4.0}",6
0,che,eclipse,"(datetime.datetime(2023, 2, 1, 0, 0), datetime.datetime(2023, 3, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 14.0, 'max': [41], 'Q1': 14.0, 'Q3': 27.5}","{'avg': 2.0, 'max': [2], 'Q1': 1.5, 'Q3': 2.0}",3
0,che,eclipse,"(datetime.datetime(2023, 3, 1, 0, 0), datetime.datetime(2023, 4, 1, 0, 0))","{'avg': 0.5037553648068669, 'max': [1.0], 'Q1': 0.005633047210300429, 'Q3': 1.0}","{'avg': 0.5997283684511503, 'max': [0.9534883720930233], 'Q1': 0.39639478984343157, 'Q3': 0.7713445339681377}","{'avg': 11.0, 'max': [9533], 'Q1': 8.5, 'Q3': 1279.0}","{'avg': 4.0, 'max': [161], 'Q1': 1.0, 'Q3': 19.5}",5
0,che,eclipse,"(datetime.datetime(2023, 4, 1, 0, 0), datetime.datetime(2023, 5, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 0.25, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 0.25, 'Q3': 1.0}","{'avg': 27.0, 'max': [2247], 'Q1': 6.5, 'Q3': 132.5}","{'avg': 4.0, 'max': [18], 'Q1': 2.25, 'Q3': 6.0}",5
0,che,eclipse,"(datetime.datetime(2023, 5, 1, 0, 0), datetime.datetime(2023, 6, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 28.0, 'max': [2149], 'Q1': 4.5, 'Q3': 120.0}","{'avg': 4.0, 'max': [16], 'Q1': 2.0, 'Q3': 8.75}",6
